Вторник
№;Название;Время;Преподаватель;Аудитория;Тип
1;Линейная алгебра;08:20-09:50;Рванова Алла;Ауд. 2430, Кронверкский пр., д.49, лит.А;Практика
2;Линейная алгебра;10:00-11:30;Рванова Алла;Ауд. 2430, Кронверкский пр., д.49, лит.А;Лекция
3;Основы дискретной математики (базовый уровень);17:00-18:30;Поляков Владимир Иванович;Ауд. 2403, Кронверкский пр., д.49, лит.А;Лекция
4;Основы дискретной математики (базовый уровень);18:40-20:10;Поляков Владимир Иванович;Ауд. 2403, Кронверкский пр., д.49, лит.А;Практика

Пятница
№;Название;Время;Преподаватель;Аудитория;Тип
1;Математический анализ;10:00-11:30;Попов Игорь Юрьевич;Ауд. 4306, ул. Ломоносова, д.9, лит.Б;Практика
2;Математический анализ;11:40-13:10;Попов Игорь Юрьевич;Ауд. 2202, ул. Ломоносова, д.9, лит.А;Лекция
3;Английский язык;15:20-16:50;Ермакова Елена Владиславовна;Ауд. 3321, ул. Ломоносова, д.9, лит.E;Практика
4;Английский язык;17:00-18:30;Ермакова Елена Владиславовна;Ауд. 3321, ул. Ломоносова, д.9, лит.E;Практика

