Дата,Открытие,Закрытие,Макс,Мин
9/4/2018,107580,107580,107540,107540
9/4/2018,107700,107700,107610,107610
9/4/2018,107500,107500,107500,107500
9/4/2018,107570,107570,107570,107570
9/4/2018,107560,107560,107560,107560
9/4/2018,107610,107610,107610,107610
9/4/2018,107630,107640,107630,107640
9/4/2018,107670,107670,107670,107670
9/4/2018,107530,107530,107490,107490
9/4/2018,107530,107530,107490,107490
9/4/2018,107550,107550,107550,107550
9/4/2018,107640,107800,107640,107800
9/4/2018,107760,107760,107760,107760
9/4/2018,107710,107710,107710,107710
9/4/2018,107790,107790,107790,107790
9/4/2018,107750,107750,107750,107750
9/4/2018,107720,107720,107650,107680
9/4/2018,107750,107750,107720,107720
9/4/2018,107610,107610,107600,107600
9/4/2018,107580,107580,107580,107580
9/4/2018,107510,107580,107510,107580
9/4/2018,107590,107590,107590,107590
9/4/2018,107550,107550,107510,107510
9/4/2018,107550,107550,107550,107550
9/4/2018,107450,107450,107430,107430
9/4/2018,107530,107530,107530,107530
9/4/2018,107590,107600,107590,107600
9/4/2018,107690,107690,107690,107690
9/4/2018,107610,107610,107610,107610
9/4/2018,107640,107640,107640,107640
9/4/2018,107690,107690,107690,107690
9/4/2018,107610,107610,107610,107610
9/4/2018,107630,107630,107630,107630
9/4/2018,107570,107570,107570,107570
9/4/2018,107510,107510,107510,107510
9/4/2018,107460,107460,107440,107460
9/4/2018,107460,107470,107460,107460
9/4/2018,107340,107390,107300,107300
9/4/2018,107400,107410,107400,107410
9/4/2018,107360,107400,107210,107270
9/4/2018,107240,107240,106970,106970
9/4/2018,106910,106910,106830,106910
9/4/2018,106830,106870,106750,106870
9/4/2018,106900,107000,106850,106850
9/4/2018,106810,106840,106810,106840
9/4/2018,106910,106910,106910,106910
9/4/2018,106790,106790,106790,106790
9/4/2018,106910,106990,106910,106990
9/4/2018,106950,106950,106950,106950
9/4/2018,107000,107000,107000,107000
9/4/2018,106990,106990,106990,106990
9/4/2018,107000,107000,107000,107000
9/4/2018,107030,107050,107030,107050
9/4/2018,106980,106980,106980,106980
9/4/2018,107060,107060,107060,107060
9/4/2018,107060,107060,107060,107060
9/4/2018,107150,107150,107150,107150
9/4/2018,107030,107030,107030,107030
9/4/2018,107200,107200,107200,107200
9/4/2018,107300,107350,107300,107310
9/4/2018,107210,107230,107210,107230
9/4/2018,107150,107150,107150,107150
9/4/2018,107150,107150,107150,107150
9/4/2018,107000,107020,107000,107020
9/4/2018,106960,106960,106960,106960
9/4/2018,106930,106930,106930,106930
9/4/2018,106900,106900,106850,106850
9/4/2018,107000,107080,107000,107080
9/4/2018,107120,107120,107120,107120
9/4/2018,106950,106950,106920,106920
9/4/2018,107000,107000,107000,107000
9/4/2018,107000,107010,107000,107010
9/4/2018,107060,107060,107060,107060
9/4/2018,107070,107070,107070,107070
9/4/2018,107050,107050,107050,107050
9/4/2018,107020,107020,106850,106850
9/4/2018,106810,106860,106810,106850
9/4/2018,106990,107000,106990,107000
9/4/2018,107000,107000,107000,107000
9/4/2018,107000,107000,107000,107000
9/4/2018,107010,107010,107010,107010
9/4/2018,106900,106930,106900,106930
9/4/2018,106900,106930,106870,106930
9/4/2018,106930,106930,106930,106930
9/4/2018,106850,106850,106700,106700
9/4/2018,106700,106850,106700,106850
9/4/2018,106870,106870,106870,106870
9/4/2018,106810,106810,106760,106760
9/4/2018,106750,106750,106750,106750
9/4/2018,106740,106740,106740,106740
9/4/2018,106730,106730,106730,106730
9/4/2018,106700,106700,106700,106700
9/4/2018,106650,106670,106650,106670
9/4/2018,106700,106700,106700,106700
9/4/2018,106650,106670,106620,106670
9/4/2018,106730,106730,106730,106730
9/4/2018,106730,106730,106730,106730
9/4/2018,106710,106710,106700,106700
9/4/2018,106650,106670,106650,106670
9/4/2018,106600,106600,106590,106590
9/4/2018,106630,106630,106630,106630
9/4/2018,106590,106590,106590,106590
9/4/2018,106740,106740,106650,106650
9/4/2018,106650,106650,106650,106650
9/4/2018,106600,106600,106590,106590
9/4/2018,106750,106750,106750,106750
9/4/2018,106800,106800,106800,106800
9/4/2018,106850,106850,106850,106850
9/4/2018,106740,106740,106740,106740
9/4/2018,106800,106800,106800,106800
9/4/2018,106700,106700,106700,106700
9/4/2018,106700,106700,106700,106700
9/4/2018,106590,106590,106510,106550
9/4/2018,106500,106500,106500,106500
9/4/2018,106570,106570,106570,106570
9/4/2018,106540,106540,106540,106540
9/4/2018,106500,106500,106480,106480
9/4/2018,106430,106440,106430,106440
9/4/2018,106500,106500,106500,106500
9/4/2018,106540,106540,106500,106500
9/4/2018,106470,106470,106470,106470
9/4/2018,106460,106470,106460,106460
9/4/2018,106460,106460,106460,106460
9/4/2018,106400,106400,106400,106400
9/4/2018,106450,106450,106450,106450
9/4/2018,106480,106480,106480,106480
9/4/2018,106500,106500,106500,106500
9/4/2018,106410,106410,106410,106410
9/4/2018,106400,106400,106400,106400
9/4/2018,106400,106400,106400,106400
9/4/2018,106550,106550,106550,106550
9/4/2018,106550,106550,106500,106500
9/4/2018,106700,106700,106700,106700
9/4/2018,106700,106700,106700,106700
9/4/2018,106700,106700,106700,106700
9/4/2018,106780,106790,106780,106790
9/4/2018,106650,106650,106650,106650
9/4/2018,106650,106680,106650,106680
9/4/2018,106850,106850,106850,106850
9/4/2018,106870,106990,106870,106990
9/4/2018,107000,107040,107000,107020
9/4/2018,107000,107000,107000,107000
9/4/2018,106900,106900,106900,106900
9/4/2018,106900,106900,106900,106900
9/4/2018,106950,106950,106950,106950
9/4/2018,106990,107000,106990,107000
9/4/2018,106850,106850,106850,106850
9/4/2018,106750,106750,106750,106750
9/4/2018,106740,106740,106700,106700
9/4/2018,106830,106830,106830,106830
9/4/2018,106850,106850,106850,106850
9/4/2018,106840,106840,106840,106840
9/4/2018,107000,107000,106970,106970
9/4/2018,107070,107070,107070,107070
9/4/2018,107020,107020,107020,107020
9/4/2018,107090,107090,107080,107080
9/4/2018,106980,106980,106980,106980
9/4/2018,106900,106900,106900,106900
9/4/2018,106850,106850,106850,106850
9/4/2018,106880,106880,106810,106810
9/4/2018,106770,106770,106770,106770
9/4/2018,106840,106860,106840,106860
9/4/2018,106930,107000,106930,107000
9/4/2018,106960,106960,106960,106960
